v,count
1,155
2,181
3,208
4,225
5,277
6,305
7,328
8,351
9,362
10,379
11,399
12,410
13,427
14,438
15,456
16,474
17,486
18,498
19,511
20,522
21,564
22,574
23,586
24,610
25,626
26,641
27,652
28,662
29,676
30,692
31,705
32,715
33,726
34,741
35,753
36,767
37,780
38,792
39,803
40,816
41,830
42,840
43,853
44,1008
45,1216
46,1364
47,1414
48,1570
49,1870
50,2002
51,2186
52,2296
53,2341
54,2589
55,2719
56,2890
57,2925
58,2956
59,3180
60,3255
61,3278
62,3363
63,3499
64,3623
65,3814
66,3933
67,4028
68,4100
69,4320
70,4496
71,4597
72,4674
73,4731
74,4800
75,4978
76,5100
77,5137
78,5217
79,5452
80,5535
81,5718
82,5791
83,5925
84,6174
85,6461
86,6568
87,6717
88,6861
89,7087
90,7197
91,7305
92,7560
93,7670
94,7748
95,7801
96,7981
97,8091
98,8122
99,8289
100,8509
101,8643
102,8769
103,8779
104,8968
105,9242
106,9332
107,9404
108,9602
109,9731
110,9799
111,9977
112,10081
113,10159
114,10170
115,10268
116,10500
117,10629
118,10660
119,10753
120,10935
121,11068
122,11145
123,11441
124,11593
125,11731
126,11748
127,12182
128,12127
129,12200
130,12391
131,12516
132,12589
133,12624
134,12896
135,13011
136,13101
137,13281
138,13442
139,13640
140,13695
141,13740
142,13958
143,14134
144,14216
145,14434
146,14520
147,14601
148,14612
149,14824
150,14972
151,15073
152,15124
153,15220
154,15502
155,15628
156,15771
157,15875
158,16083
159,16181
160,16263
161,16401
162,16548
163,16629
164,16783
165,16921
166,17006
167,17012
168,17032
169,17042
170,17080
171,17100
172,17129
173,17182
174,17225
175,17325
176,17372
177,17424
178,17463
179,17689
180,17743
181,18024
182,18176
183,18287
184,18355
185,18408
186,18480
187,18625
188,18948
189,19096
190,19238
191,19330
192,19440
193,19480
194,19536
195,19660
196,19979
197,20119
198,20253
199,20438
200,20474
201,20533
202,20570
203,20649
204,20809
205,21201
206,21361
207,21457
208,21510
209,21562
210,21619
211,21761
212,21987
213,22279
214,22402
215,22436
216,22462
217,22513
218,22572
219,22591
220,22602
221,22638
222,22668
223,22731
224,22878
225,23257
226,23643
227,23816
228,23942
229,24050
230,24152
231,24532
232,24648
233,24764
234,24809
235,24862
236,25190
237,25289
238,25359
239,25430
240,25615
241,25787
242,25844
243,26029
244,26204
245,26355
246,26534
247,26585
248,26874
249,27107
250,27250
251,27374
252,27387
253,27529
254,27879
255,28146
256,28218
257,28238
258,28500
259,28618
260,28666
261,28724
262,28965
263,29151
264,29351
265,29521
266,29762
267,29930
268,30126
269,30323
270,30534
271,30643
272,30733
273,30798
274,31049
275,31193
276,31237
277,31399
278,31601
279,31724
280,31891
281,32179
282,32360
283,32462
284,32479
285,32690
286,32996
287,33145
288,33228
289,33252
290,33465
291,33630
292,33724
293,33977
294,34110
